
> pennant-sim@0.1.0 baseline:new
> tsx scripts/balance-new-engine.ts

Season 1/100: AVG 0.243, ERA 3.10, HR 1193
Season 2/100: AVG 0.225, ERA 2.49, HR 988
Season 3/100: AVG 0.232, ERA 2.52, HR 978
Season 4/100: AVG 0.230, ERA 2.58, HR 1030
Season 5/100: AVG 0.238, ERA 2.84, HR 1160
Season 6/100: AVG 0.222, ERA 2.32, HR 888
Season 7/100: AVG 0.242, ERA 2.98, HR 1131
Season 8/100: AVG 0.246, ERA 3.00, HR 1194
Season 9/100: AVG 0.243, ERA 2.88, HR 1136
Season 10/100: AVG 0.240, ERA 2.99, HR 1210
Season 11/100: AVG 0.226, ERA 2.36, HR 909
Season 12/100: AVG 0.241, ERA 2.87, HR 1155
Season 13/100: AVG 0.238, ERA 2.67, HR 1055
Season 14/100: AVG 0.228, ERA 2.48, HR 985
Season 15/100: AVG 0.248, ERA 3.25, HR 1227
Season 16/100: AVG 0.236, ERA 2.78, HR 1101
Season 17/100: AVG 0.229, ERA 2.59, HR 940
Season 18/100: AVG 0.235, ERA 2.71, HR 1108
Season 19/100: AVG 0.220, ERA 2.20, HR 866
Season 20/100: AVG 0.235, ERA 2.72, HR 1033
Season 21/100: AVG 0.232, ERA 2.66, HR 975
Season 22/100: AVG 0.237, ERA 2.79, HR 1053
Season 23/100: AVG 0.230, ERA 2.71, HR 1083
Season 24/100: AVG 0.234, ERA 2.65, HR 1041
Season 25/100: AVG 0.239, ERA 2.82, HR 1052
Season 26/100: AVG 0.238, ERA 2.82, HR 1139
Season 27/100: AVG 0.224, ERA 2.37, HR 882
Season 28/100: AVG 0.224, ERA 2.49, HR 917
Season 29/100: AVG 0.244, ERA 3.04, HR 1154
Season 30/100: AVG 0.236, ERA 2.70, HR 1047
Season 31/100: AVG 0.244, ERA 3.05, HR 1152
Season 32/100: AVG 0.231, ERA 2.62, HR 1042
Season 33/100: AVG 0.239, ERA 2.80, HR 1138
Season 34/100: AVG 0.235, ERA 2.81, HR 1055
Season 35/100: AVG 0.248, ERA 3.06, HR 1168
Season 36/100: AVG 0.240, ERA 2.74, HR 1104
Season 37/100: AVG 0.240, ERA 2.91, HR 1164
Season 38/100: AVG 0.232, ERA 2.66, HR 1090
Season 39/100: AVG 0.242, ERA 2.91, HR 1171
Season 40/100: AVG 0.231, ERA 2.57, HR 992
Season 41/100: AVG 0.236, ERA 2.82, HR 1117
Season 42/100: AVG 0.236, ERA 2.78, HR 1084
Season 43/100: AVG 0.232, ERA 2.60, HR 1038
Season 44/100: AVG 0.239, ERA 2.72, HR 1084
Season 45/100: AVG 0.227, ERA 2.46, HR 943
Season 46/100: AVG 0.226, ERA 2.33, HR 867
Season 47/100: AVG 0.231, ERA 2.68, HR 1021
Season 48/100: AVG 0.238, ERA 2.83, HR 1113
Season 49/100: AVG 0.230, ERA 2.55, HR 1054
Season 50/100: AVG 0.235, ERA 2.72, HR 1038
Season 51/100: AVG 0.234, ERA 2.74, HR 1087
Season 52/100: AVG 0.224, ERA 2.45, HR 985
Season 53/100: AVG 0.235, ERA 2.61, HR 1090
Season 54/100: AVG 0.246, ERA 3.03, HR 1167
Season 55/100: AVG 0.249, ERA 3.16, HR 1179
Season 56/100: AVG 0.244, ERA 2.95, HR 1181
Season 57/100: AVG 0.236, ERA 2.73, HR 1057
